,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
19,Afghanistan,AFG,2022-01-09,4903368.0,4358570.0,3809353.0,1,40374668.0,10.795308583094727
20,Afghanistan,AFG,2022-01-11,4925111.0,4378818.0,3814837.0,0,40374668.0,10.845458840677031
21,Afghanistan,AFG,2022-01-13,4954809.0,4405897.0,3823786.0,2,40374668.0,10.912528122831871
22,Afghanistan,AFG,2022-01-17,4985047.0,4432926.0,3832821.0,1,40374668.0,10.979473564959099
23,Afghanistan,AFG,2022-01-19,5004050.0,4450211.0,3836731.0,2,40374668.0,11.022285062505034
24,Afghanistan,AFG,2022-01-24,5046054.0,4486527.0,3851307.0,3,40374668.0,11.112232551361165
25,Afghanistan,AFG,2022-01-26,5074196.0,4511372.0,3866279.0,4,40374668.0,11.17376866108224
26,Afghanistan,AFG,2022-01-27,5081064.0,4517380.0,3868832.0,4,40374668.0,11.188649278800261
27,Afghanistan,AFG,2022-01-31,5125146.0,4554648.0,3892831.0,2,40374668.0,11.280954681782152
28,Afghanistan,AFG,2022-02-02,5152297.0,4577740.0,3912336.0,3,40374668.0,11.338148960135102
29,Afghanistan,AFG,2022-02-07,5216998.0,4634282.0,3959887.0,7,40374668.0,11.478192216961387
30,Afghanistan,AFG,2022-02-14,5321308.0,4723416.0,4043580.0,6,40374668.0,11.698959357387162
31,Afghanistan,AFG,2022-02-20,5412309.0,4801524.0,4125717.0,5,40374668.0,11.89241729492364
32,Afghanistan,AFG,2022-02-27,5535254.0,4907058.0,4231984.0,7,40374668.0,12.153803964406592
33,Afghanistan,AFG,2022-03-06,5597130.0,4952744.0,4281934.0,2,40374668.0,12.266959074437466
34,Afghanistan,AFG,2022-03-17,5731146.0,5066540.0,4402868.0,5,40374668.0,12.54880907008325
35,Afghanistan,AFG,2022-03-22,5751015.0,5082824.0,4420127.0,0,40374668.0,12.589141290276368
36,Albania,ALB,2021-02-02,550.0,549.0,1.0,13,2869700.0,0.019130919608321428
37,Albania,ALB,2021-02-09,1127.0,689.0,438.0,12,2869700.0,0.024009478342683906
38,Albania,ALB,2021-02-17,1701.0,1090.0,611.0,15,2869700.0,0.03798306443182214
39,Albania,ALB,2021-02-18,3049.0,2438.0,611.0,18,2869700.0,0.08495661567411228
40,Albania,ALB,2021-02-22,6728.0,6073.0,655.0,13,2869700.0,0.21162490852702373
41,Albania,ALB,2021-05-11,622507.0,440921.0,181586.0,4,2869700.0,15.3647071122417
42,Albania,ALB,2021-05-12,632676.0,444755.0,187921.0,4,2869700.0,15.498309927867023
43,Albania,ALB,2021-05-13,638338.0,445402.0,192936.0,3,2869700.0,15.520855838589402
44,Albania,ALB,2021-05-14,653330.0,448571.0,204759.0,3,2869700.0,15.631285500226506
45,Albania,ALB,2021-05-17,680083.0,456980.0,223103.0,3,2869700.0,15.924312645921177
46,Albania,ALB,2021-05-18,688947.0,460191.0,228756.0,3,2869700.0,16.03620587517859
47,Albania,ALB,2021-05-19,697811.0,463402.0,234409.0,1,2869700.0,16.148099104436003
48,Albania,ALB,2021-05-20,703743.0,466083.0,237660.0,2,2869700.0,16.241523504199044
49,Albania,ALB,2021-05-21,708846.0,469169.0,239677.0,2,2869700.0,16.349060877443637
50,Albania,ALB,2021-05-23,716616.0,472840.0,243776.0,1,2869700.0,16.47698365682824
51,Albania,ALB,2021-05-24,725135.0,475237.0,249898.0,2,2869700.0,16.560511551730144
52,Albania,ALB,2021-05-26,748986.0,479789.0,269197.0,2,2869700.0,16.719134404293133
53,Albania,ALB,2021-05-27,759043.0,481788.0,277255.0,0,2869700.0,16.78879325365021
54,Albania,ALB,2021-05-30,772204.0,485162.0,287042.0,1,2869700.0,16.906366519148346
55,Albania,ALB,2021-05-31,776461.0,486128.0,290333.0,1,2869700.0,16.940028574415443
56,Albania,ALB,2021-06-01,780342.0,487078.0,293264.0,1,2869700.0,16.973133080112905
57,Albania,ALB,2021-06-03,787321.0,490050.0,297271.0,0,2869700.0,17.0766979126738
58,Albania,ALB,2021-06-06,798624.0,492522.0,306102.0,0,2869700.0,17.162839321183398
59,Albania,ALB,2021-06-07,803682.0,493346.0,310336.0,0,2869700.0,17.191553124019933
60,Albania,ALB,2021-06-08,809992.0,494437.0,315555.0,1,2869700.0,17.229571035299855
61,Albania,ALB,2021-06-09,816556.0,496024.0,320532.0,0,2869700.0,17.284872983238667
62,Albania,ALB,2021-06-10,823053.0,498437.0,324616.0,0,2869700.0,17.36895842771021
63,Albania,ALB,2021-06-11,830281.0,501735.0,328546.0,0,2869700.0,17.483883332752555
64,Albania,ALB,2021-06-12,834868.0,503721.0,331147.0,1,2869700.0,17.553089173084295
65,Albania,ALB,2021-06-13,836430.0,504257.0,332173.0,0,2869700.0,17.571767083667282
66,Albania,ALB,2021-06-14,842535.0,507764.0,334771.0,0,2869700.0,17.693974979963063
67,Albania,ALB,2021-06-15,848430.0,507854.0,340576.0,0,2869700.0,17.697111196292294
68,Albania,ALB,2021-06-16,854227.0,509282.0,344945.0,1,2869700.0,17.746872495382792
69,Albania,ALB,2021-06-17,862628.0,511175.0,351453.0,0,2869700.0,17.81283757884099
70,Albania,ALB,2021-06-20,880912.0,515884.0,365028.0,0,2869700.0,17.976931386556085
71,Albania,ALB,2021-06-21,890052.0,519674.0,370378.0,0,2869700.0,18.1090009408649
72,Albania,ALB,2021-06-22,901429.0,525800.0,375629.0,1,2869700.0,18.32247273234136
73,Albania,ALB,2021-06-23,912874.0,532225.0,380649.0,0,2869700.0,18.546363731400493
74,Albania,ALB,2021-06-24,922886.0,537018.0,385868.0,0,2869700.0,18.713384674356202
75,Albania,ALB,2021-06-28,943439.0,547300.0,396139.0,0,2869700.0,19.071679966547027
76,Albania,ALB,2021-06-29,955498.0,556252.0,399246.0,0,2869700.0,19.383628950761402
77,Albania,ALB,2021-06-30,968034.0,564530.0,403504.0,0,2869700.0,19.672091159354636
78,Albania,ALB,2021-07-01,974486.0,567084.0,407402.0,0,2869700.0,19.76109000940865
79,Albania,ALB,2021-07-02,981499.0,569352.0,412147.0,0,2869700.0,19.840122660905323
80,Albania,ALB,2021-07-04,988550.0,571759.0,416791.0,0,2869700.0,19.923999024288253
81,Albania,ALB,2021-07-05,994081.0,574187.0,419894.0,0,2869700.0,20.00860717148134
82,Albania,ALB,2021-07-06,1000063.0,576905.0,423158.0,0,2869700.0,20.103320904624177
83,Albania,ALB,2021-07-07,1005663.0,579552.0,426111.0,0,2869700.0,20.19556051155173
84,Albania,ALB,2021-07-08,1011297.0,582106.0,429191.0,0,2869700.0,20.28455936160574
85,Albania,ALB,2021-07-09,1016554.0,584832.0,431722.0,0,2869700.0,20.3795518695334
86,Albania,ALB,2021-07-10,1021408.0,587238.0,434170.0,0,2869700.0,20.46339338606823
87,Albania,ALB,2021-07-11,1022802.0,587876.0,434926.0,0,2869700.0,20.48562567515768
88,Albania,ALB,2021-07-12,1029234.0,590476.0,438758.0,0,2869700.0,20.576227480224414
89,Albania,ALB,2021-07-13,1035667.0,592502.0,443165.0,0,2869700.0,20.64682719448026
90,Albania,ALB,2021-07-14,1043499.0,594669.0,448830.0,0,2869700.0,20.72234031431857
91,Albania,ALB,2021-07-15,1052108.0,596977.0,455131.0,0,2869700.0,20.802766839739345
92,Albania,ALB,2021-07-16,1060042.0,599387.0,460655.0,0,2869700.0,20.886747743666586
93,Albania,ALB,2021-07-17,1067135.0,601701.0,465434.0,0,2869700.0,20.96738335017598
94,Albania,ALB,2021-07-18,1069365.0,602460.0,466905.0,0,2869700.0,20.993832107885844
95,Albania,ALB,2021-07-20,1082424.0,609538.0,472886.0,0,2869700.0,21.24047809875597
96,Albania,ALB,2021-07-21,1095453.0,616592.0,478861.0,0,2869700.0,21.48628776527163
97,Albania,ALB,2021-07-22,1109785.0,624490.0,485295.0,0,2869700.0,21.76150817158588
98,Albania,ALB,2021-07-25,1138771.0,640047.0,498724.0,0,2869700.0,22.30362058751786
99,Albania,ALB,2021-07-29,1179769.0,660756.0,519013.0,1,2869700.0,23.025263964874377
100,Albania,ALB,2021-07-30,1190847.0,665632.0,525215.0,0,2869700.0,23.195177196222602
101,Albania,ALB,2021-07-31,1198933.0,670215.0,528718.0,0,2869700.0,23.354880301076765
102,Albania,ALB,2021-08-01,1203087.0,672765.0,530322.0,0,2869700.0,23.44373976373837
103,Albania,ALB,2021-08-02,1212761.0,677938.0,534823.0,0,2869700.0,23.624002508973064
104,Albania,ALB,2021-08-03,1221640.0,683052.0,538588.0,0,2869700.0,23.802209290169703
105,Albania,ALB,2021-08-04,1229405.0,687768.0,541637.0,0,2869700.0,23.966547025821512
106,Albania,ALB,2021-08-05,1238036.0,693000.0,545036.0,0,2869700.0,24.14886573509426
107,Albania,ALB,2021-08-08,1259952.0,706470.0,553482.0,1,2869700.0,24.618252779036137
108,Albania,ALB,2021-08-10,1280239.0,720232.0,560007.0,1,2869700.0,25.097815102623965
109,Albania,ALB,2021-08-13,1309995.0,742540.0,567455.0,0,2869700.0,25.875178590096525
110,Albania,ALB,2021-08-15,1321198.0,750965.0,570233.0,2,2869700.0,26.16876328536084
111,Albania,ALB,2021-08-16,1330754.0,757938.0,572816.0,1,2869700.0,26.411750357180193
112,Albania,ALB,2021-08-17,1340339.0,764997.0,575342.0,2,2869700.0,26.657734257936372
113,Albania,ALB,2021-08-19,1358228.0,776986.0,581242.0,3,2869700.0,27.075513119838313
114,Albania,ALB,2021-08-21,1373349.0,785724.0,587625.0,2,2869700.0,27.380004878558733
115,Albania,ALB,2021-08-22,1376763.0,787510.0,589253.0,2,2869700.0,27.442241349269956
116,Albania,ALB,2021-08-23,1386713.0,792663.0,594050.0,1,2869700.0,27.621807157542598
117,Albania,ALB,2021-08-24,1396390.0,797441.0,598949.0,0,2869700.0,27.788305397776767
118,Albania,ALB,2021-08-25,1405653.0,802394.0,603259.0,2,2869700.0,27.960901836428896
119,Albania,ALB,2021-08-26,1415907.0,807368.0,608539.0,3,2869700.0,28.134230058891173
120,Albania,ALB,2021-08-27,1427977.0,812555.0,615422.0,3,2869700.0,28.3149806599993
121,Albania,ALB,2021-08-29,1444764.0,818955.0,625809.0,3,2869700.0,28.538000487855875
122,Albania,ALB,2021-08-30,1458048.0,824170.0,633878.0,2,2869700.0,28.719726800710877
123,Albania,ALB,2021-08-31,1472316.0,830396.0,641920.0,3,2869700.0,28.936683276997595
124,Albania,ALB,2021-09-01,1485250.0,836613.0,648637.0,3,2869700.0,29.15332613165139
125,Albania,ALB,2021-09-02,1499898.0,844304.0,655594.0,3,2869700.0,29.421333240408405
126,Albania,ALB,2021-09-06,1539232.0,865281.0,673951.0,3,2869700.0,30.152315573056416
127,Albania,ALB,2021-09-07,1553626.0,872116.0,681510.0,4,2869700.0,30.390493779837612
128,Albania,ALB,2021-09-08,1567313.0,879459.0,687854.0,4,2869700.0,30.646374185454928
129,Albania,ALB,2021-09-09,1579402.0,885981.0,693421.0,5,2869700.0,30.873645328780015
130,Albania,ALB,2021-09-10,1589575.0,890978.0,698597.0,3,2869700.0,31.047775028748646
131,Albania,ALB,2021-09-11,1598196.0,895363.0,702833.0,4,2869700.0,31.200578457678503
132,Albania,ALB,2021-09-12,1601552.0,896926.0,704626.0,4,2869700.0,31.255044081262852
133,Albania,ALB,2021-09-13,1610157.0,900814.0,709343.0,4,2869700.0,31.390528626685715
134,Albania,ALB,2021-09-14,1618111.0,904594.0,713517.0,5,2869700.0,31.5222497125135
135,Albania,ALB,2021-09-15,1625636.0,908232.0,717404.0,5,2869700.0,31.64902254591072
136,Albania,ALB,2021-09-16,1632986.0,911372.0,721614.0,4,2869700.0,31.75844164895285
137,Albania,ALB,2021-09-17,1640239.0,914401.0,725838.0,6,2869700.0,31.863992751855598
138,Albania,ALB,2021-09-19,1649884.0,918307.0,731577.0,5,2869700.0,32.00010454054431
139,Albania,ALB,2021-09-20,1657595.0,921001.0,736594.0,6,2869700.0,32.09398194933269
140,Albania,ALB,2021-09-21,1665590.0,923771.0,741819.0,7,2869700.0,32.19050771857685
141,Albania,ALB,2021-09-22,1674093.0,926652.0,747441.0,7,2869700.0,32.29090148796042
142,Albania,ALB,2021-09-23,1683644.0,929624.0,754020.0,7,2869700.0,32.39446632052131
143,Albania,ALB,2021-09-24,1693555.0,932595.0,760960.0,8,2869700.0,32.4979963062341
144,Albania,ALB,2021-09-27,1715133.0,938985.0,776148.0,11,2869700.0,32.720667665609646
145,Albania,ALB,2021-09-28,1723996.0,941418.0,782578.0,13,2869700.0,32.805450047043244
146,Albania,ALB,2021-09-29,1732549.0,944011.0,788538.0,15,2869700.0,32.89580792417326
147,Albania,ALB,2021-09-30,1741373.0,946495.0,794878.0,17,2869700.0,32.982367494860085
148,Albania,ALB,2021-10-01,1749106.0,948553.0,800553.0,13,2869700.0,33.05408230825522
149,Albania,ALB,2021-10-02,1756040.0,950620.0,805420.0,7,2869700.0,33.12611074328327
150,Albania,ALB,2021-10-04,1764714.0,952949.0,811765.0,3,2869700.0,33.2072690525142
151,Albania,ALB,2021-10-05,1771542.0,955083.0,816459.0,5,2869700.0,33.281632226365126
152,Albania,ALB,2021-10-06,1778093.0,957147.0,820946.0,7,2869700.0,33.35355612084887
153,Albania,ALB,2021-10-07,1783984.0,958874.0,825110.0,9,2869700.0,33.41373662752204
154,Albania,ALB,2021-10-08,1789592.0,960652.0,828940.0,12,2869700.0,33.475694323448444
155,Albania,ALB,2021-10-09,1795351.0,962281.0,833070.0,7,2869700.0,33.53245983900756
156,Albania,ALB,2021-10-12,1810433.0,968117.0,842316.0,9,2869700.0,33.73582604453427
157,Albania,ALB,2021-10-13,1816580.0,970703.0,845877.0,6,2869700.0,33.825939993727566
158,Albania,ALB,2021-10-17,1836856.0,979655.0,857201.0,3,2869700.0,34.13788897794194
159,Albania,ALB,2021-10-18,1842661.0,982467.0,860194.0,10,2869700.0,34.23587831480643
160,Albania,ALB,2021-10-19,1848634.0,985320.0,863314.0,9,2869700.0,34.33529637244311
161,Albania,ALB,2021-10-20,1854615.0,988414.0,866201.0,12,2869700.0,34.443112520472525
162,Albania,ALB,2021-10-21,1860335.0,991371.0,868964.0,8,2869700.0,34.54615465031188
163,Albania,ALB,2021-10-22,1865942.0,994446.0,871496.0,6,2869700.0,34.65330870822734
164,Albania,ALB,2021-10-24,1873903.0,998130.0,875773.0,7,2869700.0,34.781684496637276
165,Albania,ALB,2021-10-25,1879391.0,1000993.0,878398.0,4,2869700.0,34.881451022754995
166,Albania,ALB,2021-10-27,1891041.0,1007734.0,883307.0,8,2869700.0,35.11635362581455
167,Albania,ALB,2021-10-28,1896652.0,1011039.0,885613.0,5,2869700.0,35.2315224587936
168,Albania,ALB,2021-10-29,1901824.0,1013959.0,887865.0,9,2869700.0,35.33327525525316
169,Albania,ALB,2021-11-01,1909861.0,1018154.0,891707.0,8,2869700.0,35.47945778304352
170,Albania,ALB,2021-11-03,1926604.0,1025180.0,898625.0,6,2869700.0,35.724291737812315
171,Albania,ALB,2021-11-06,1944676.0,1031588.0,904858.0,4,2869700.0,35.94759034045371
172,Albania,ALB,2021-11-07,1947148.0,1032457.0,905876.0,2,2869700.0,35.977872251454855
173,Albania,ALB,2021-11-09,1963359.0,1037546.0,910845.0,11,2869700.0,36.15520786144893
174,Albania,ALB,2021-11-10,1971973.0,1040015.0,913524.0,4,2869700.0,36.24124472941423
175,Albania,ALB,2021-11-11,1980231.0,1042227.0,916432.0,5,2869700.0,36.31832595741715
176,Albania,ALB,2021-11-14,2000104.0,1047822.0,924194.0,3,2869700.0,36.51329407255114
177,Albania,ALB,2021-11-16,2016954.0,1051540.0,930527.0,7,2869700.0,36.64285465379656
178,Albania,ALB,2021-11-17,2025561.0,1053553.0,933630.0,7,2869700.0,36.713001359027075
179,Albania,ALB,2021-11-18,2033766.0,1055690.0,936539.0,10,2869700.0,36.78746907342231
180,Albania,ALB,2021-11-21,2050342.0,1059927.0,942903.0,6,2869700.0,36.93511516883298
181,Albania,ALB,2021-11-24,2074670.0,1065961.0,951371.0,4,2869700.0,37.145381050284
182,Albania,ALB,2021-11-25,2081782.0,1067769.0,953489.0,10,2869700.0,37.20838415165348
183,Albania,ALB,2021-11-28,2096897.0,1071871.0,959555.0,8,2869700.0,37.351325922570304
184,Albania,ALB,2021-11-30,2101039.0,1072645.0,961013.0,3,2869700.0,37.37829738300171
185,Albania,ALB,2021-12-01,2111797.0,1075332.0,965964.0,4,2869700.0,37.471930863853366
186,Albania,ALB,2021-12-03,2130714.0,1080490.0,971974.0,3,2869700.0,37.65167090636652
187,Albania,ALB,2021-12-05,2141863.0,1084071.0,975573.0,1,2869700.0,37.77645746942189
188,Albania,ALB,2021-12-06,2151065.0,1087187.0,978333.0,1,2869700.0,37.88504024810956
189,Albania,ALB,2021-12-07,2161198.0,1090591.0,981170.0,5,2869700.0,38.00365891905077
190,Albania,ALB,2021-12-08,2166207.0,1092316.0,982658.0,7,2869700.0,38.06376973202774
191,Albania,ALB,2021-12-12,2196145.0,1102621.0,992353.0,2,2869700.0,38.42286650172492
192,Albania,ALB,2021-12-13,2206089.0,1105501.0,995500.0,2,2869700.0,38.523225424260374
193,Albania,ALB,2021-12-14,2216402.0,1108572.0,998326.0,6,2869700.0,38.630240094783424
194,Albania,ALB,2021-12-15,2226267.0,1111494.0,1001189.0,4,2869700.0,38.73206258493919
195,Albania,ALB,2021-12-18,2251010.0,1119430.0,1008465.0,2,2869700.0,39.008607171481344
196,Albania,ALB,2021-12-21,2270522.0,1126181.0,1013806.0,6,2869700.0,39.24385824302192
197,Albania,ALB,2021-12-23,2286235.0,1131547.0,1018549.0,2,2869700.0,39.430846429940416
198,Albania,ALB,2021-12-28,2316606.0,1141486.0,1031132.0,7,2869700.0,39.777189253232045
199,Albania,ALB,2022-01-04,2356290.0,1155638.0,1049525.0,2,2869700.0,40.270341847579886
200,Albania,ALB,2022-01-05,2367574.0,1160648.0,1053236.0,2,2869700.0,40.44492455657386
201,Albania,ALB,2022-01-08,2398207.0,1175177.0,1060267.0,0,2869700.0,40.95121441265637
202,Albania,ALB,2022-01-10,2410728.0,1179912.0,1064297.0,3,2869700.0,41.11621423842213
203,Albania,ALB,2022-01-11,2419734.0,1183130.0,1067328.0,1,2869700.0,41.228351395616265
204,Albania,ALB,2022-01-30,2523683.0,1210040.0,1111520.0,3,2869700.0,42.166080078056936
205,Albania,ALB,2022-02-01,2612804.0,1250672.0,1156751.0,4,2869700.0,43.58197721016134
206,Albania,ALB,2022-02-06,2634377.0,1255350.0,1166963.0,5,2869700.0,43.74499076558525
207,Albania,ALB,2022-02-07,2639523.0,1256409.0,1169470.0,4,2869700.0,43.781893577725896
208,Albania,ALB,2022-02-13,2661838.0,1261189.0,1179476.0,3,2869700.0,43.94846151165627
209,Albania,ALB,2022-02-14,2665804.0,1262067.0,1181246.0,4,2869700.0,43.97905704429034
210,Albania,ALB,2022-02-15,2669695.0,1262935.0,1182883.0,6,2869700.0,44.009304108443395
211,Albania,ALB,2022-02-16,2673183.0,1263745.0,1184292.0,3,2869700.0,44.037530055406485
212,Albania,ALB,2022-02-20,2683715.0,1265923.0,1188503.0,5,2869700.0,44.11342649057393
213,Albania,ALB,2022-02-27,2702638.0,1269746.0,1196277.0,2,2869700.0,44.24664599087013
214,Albania,ALB,2022-03-01,2708574.0,1270745.0,1198759.0,5,2869700.0,44.281457992124615
215,Albania,ALB,2022-03-07,2723146.0,1273369.0,1204250.0,3,2869700.0,44.37289612154581
216,Albania,ALB,2022-03-10,2729969.0,1274514.0,1206964.0,0,2869700.0,44.41279576262327
217,Albania,ALB,2022-03-14,2735318.0,1275463.0,1208831.0,0,2869700.0,44.44586542147263
218,Albania,ALB,2022-03-15,2737859.0,1275907.0,1209791.0,0,2869700.0,44.46133742203018
219,Albania,ALB,2022-03-24,2754244.0,1278902.0,1215199.0,0,2869700.0,44.56570373209743
220,Algeria,DZA,2021-08-20,4146091.0,3421279.0,724812.0,31,45061896.0,7.5923991302984675
221,Algeria,DZA,2021-09-04,8000000.0,5000000.0,3000000.0,34,45061896.0,11.095849140480018
222,Algeria,DZA,2021-09-25,10049978.0,6017036.0,4032942.0,10,45061896.0,13.352824745767467
223,Algeria,DZA,2021-10-24,11080739.0,6328806.0,4751933.0,3,45061896.0,14.044695323072956
224,Algeria,DZA,2021-10-27,11148720.0,6351998.0,4796722.0,5,45061896.0,14.096162309726159
225,Algeria,DZA,2021-10-30,11179354.0,6364327.0,4815027.0,6,45061896.0,14.123522454536754
226,Algeria,DZA,2021-11-02,11271319.0,6399209.0,4872110.0,4,45061896.0,14.200931536480399
227,Algeria,DZA,2021-11-08,11316115.0,6418827.0,4897288.0,4,45061896.0,14.244467210167988
228,Algeria,DZA,2021-11-13,11376816.0,6446373.0,4930443.0,5,45061896.0,14.305596462252721
229,Algeria,DZA,2021-11-21,12008974.0,6697263.0,5298544.0,2,45061896.0,14.862363980423726
230,Algeria,DZA,2021-11-22,12032500.0,6703364.0,5314016.0,4,45061896.0,14.87590313554494
231,Algeria,DZA,2021-11-25,12076870.0,6716299.0,5340231.0,5,45061896.0,14.904608097271362
232,Algeria,DZA,2021-11-29,12145830.0,6740064.0,5380385.0,6,45061896.0,14.957346668236063
233,Algeria,DZA,2021-11-30,12293060.0,6875003.0,5391232.0,6,45061896.0,15.256799225669509
234,Algeria,DZA,2021-12-14,12437324.0,7019879.0,5554702.0,6,45061896.0,15.578303673684745
235,Algeria,DZA,2021-12-21,12545356.0,7060737.0,5609040.0,6,45061896.0,15.668974514521095
236,Algeria,DZA,2022-01-09,12974545.0,7247787.0,5796432.0,5,45061896.0,16.084070230866452
237,Algeria,DZA,2022-02-08,13461201.0,7403900.0,6003539.0,8,45061896.0,16.43051149024
238,Algeria,DZA,2022-02-20,13631683.0,7456361.0,6076272.0,7,45061896.0,16.546931358591745
239,Algeria,DZA,2022-03-09,13704895.0,7461932.0,6110712.0,1,45061896.0,16.55929435370407
240,Andorra,AND,2021-03-08,3611.0,2439.0,1172.0,0,77355.0,3.152995927865038
241,Andorra,AND,2021-03-10,4914.0,3650.0,1264.0,0,77355.0,4.71850559110594
242,Andorra,AND,2021-03-15,8363.0,7098.0,1265.0,1,77355.0,9.175877448128757
243,Andorra,AND,2021-04-05,15269.0,9781.0,4484.0,0,77355.0,12.644302242906083
244,Andorra,AND,2021-04-19,26414.0,21733.0,4681.0,0,77355.0,28.095145756576823
245,Andorra,AND,2021-04-26,28503.0,23822.0,4681.0,0,77355.0,30.795682244198826
246,Andorra,AND,2021-05-03,28881.0,24182.0,4699.0,2,77355.0,31.261069097020233
247,Andorra,AND,2021-05-10,31633.0,26931.0,4702.0,0,77355.0,34.81481481481482
248,Andorra,AND,2021-05-17,32317.0,27613.0,4704.0,0,77355.0,35.69646435265981
249,Andorra,AND,2021-05-31,35916.0,27613.0,8303.0,0,77355.0,35.69646435265981
250,Andorra,AND,2021-06-07,41473.0,30535.0,10938.0,0,77355.0,39.47385430806024
251,Andorra,AND,2021-06-14,51107.0,34646.0,16416.0,0,77355.0,44.788313619029154
252,Andorra,AND,2021-06-21,63265.0,38667.0,24598.0,0,77355.0,49.98642621679271
253,Andorra,AND,2021-06-28,68329.0,41716.0,26613.0,0,77355.0,53.92799431193846
254,Andorra,AND,2021-07-12,70018.0,43008.0,27010.0,0,77355.0,55.59821601706418
255,Andorra,AND,2021-07-19,82349.0,48445.0,33904.0,0,77355.0,62.62685023592528
256,Andorra,AND,2021-08-01,86320.0,50747.0,35573.0,0,77355.0,65.60274061146661
257,Andorra,AND,2021-08-15,91660.0,51044.0,40616.0,0,77355.0,65.98668476504427
258,Andorra,AND,2021-08-29,95918.0,52910.0,43008.0,0,77355.0,68.39893995216858
259,Andorra,AND,2021-09-26,102032.0,54312.0,47720.0,0,77355.0,70.21136319565639
260,Andorra,AND,2021-10-03,102692.0,54383.0,48309.0,0,77355.0,70.30314782496283
261,Andorra,AND,2021-10-31,104534.0,54999.0,49535.0,0,77355.0,71.09947643979058
262,Andorra,AND,2021-12-05,106428.0,56095.0,50333.0,0,77355.0,72.51632085838018
263,Andorra,AND,2021-12-12,115709.0,56628.0,50551.0,0,77355.0,73.20535194880745
264,Andorra,AND,2021-12-26,117246.0,57085.0,51392.0,0,77355.0,73.79613470363907
265,Andorra,AND,2022-01-16,135421.0,57643.0,53046.0,0,77355.0,74.51748432551226
266,Andorra,AND,2022-01-23,140193.0,57709.0,53104.0,0,77355.0,74.6028052485295
267,Andorra,AND,2022-02-06,141962.0,57791.0,53208.0,0,77355.0,74.70881003167216
268,Andorra,AND,2022-02-13,142420.0,57797.0,53250.0,0,77355.0,74.71656647921918
269,Andorra,AND,2022-02-20,151284.0,57805.0,53301.0,0,77355.0,74.72690840928188
270,Andorra,AND,2022-03-13,151997.0,57817.0,53367.0,0,77355.0,74.74242130437592
271,Angola,AGO,2021-05-12,626572.0,586377.0,40195.0,3,34566172.0,1.696389753542857
272,Angola,AGO,2021-05-18,681502.0,606287.0,75215.0,18,34566172.0,1.7539894206393465
273,Angola,AGO,2021-05-21,757535.0,630984.0,126551.0,8,34566172.0,1.825437887655017
274,Angola,AGO,2021-05-26,859979.0,663049.0,196930.0,4,34566172.0,1.9182019923988114
275,Angola,AGO,2021-05-31,909215.0,679034.0,230181.0,7,34566172.0,1.9644466271822056
276,Angola,AGO,2021-06-08,1115919.0,740289.0,375630.0,3,34566172.0,2.141657456313068
277,Angola,AGO,2021-06-10,1222630.0,774926.0,447704.0,8,34566172.0,2.2418623618490354
278,Angola,AGO,2021-06-15,1314375.0,822109.0,492266.0,5,34566172.0,2.378362868760822
279,Angola,AGO,2021-06-20,1380174.0,866381.0,513793.0,3,34566172.0,2.5064418472488073
